,bt,km,ownerNo,oem,model,Insurance Validity,Fuel Type,Transmission,Mileage,Engine,Torque,Engine and Transmission,Displacement,No of Cylinder,Values per Cylinder,Dimensions & Capacity,Length,Width,Height,Seating Capacity,Turning Radius,Top Speed,No Door Numbers,Wheel Size,Alloy Wheel Size,City,bhp,rpm,Reg_age,price_in_lakhs
1638,Hatchback,60333,2,Maruti,Maruti Alto K10,Comprehensive,Petrol,Manual,23.95,998,90.0,11.0,998,3.0,4.0,8.0,3545,1515,1475,5,46,145.0,5,16.0,16.0,Chennai,6705.0,6000.0,10,2.7
1639,Hatchback,81058,1,Hyundai,Hyundai Grand i10,Comprehensive,Diesel,Manual,24.0,1186,190.24,11.0,1186,3.0,4.0,7.0,3765,1660,1520,5,48,151.63,5,16.0,16.0,Chennai,7397.0,4000.0,10,3.65
1640,Sedan,51800,2,Honda,Honda Civic,Comprehensive,Petrol,Manual,13.5,1799,172.0,13.0,1799,4.0,4.0,5.0,4545,1750,1450,5,54,206.0,4,15.0,15.0,Chennai,130.0,130.0,14,4.25
1641,Hatchback,32797,2,Hyundai,Hyundai Grand i10,Comprehensive,Petrol,Manual,18.9,1197,114.0,11.0,1197,4.0,4.0,7.0,3765,1660,1520,5,48,165.0,5,14.0,14.0,Chennai,82.0,6000.0,8,5.28
1642,Hatchback,69731,1,Hyundai,Hyundai Grand i10,Comprehensive,Petrol,Manual,18.9,1197,114.0,11.0,1197,4.0,4.0,7.0,3765,1660,1520,5,48,165.0,5,14.0,14.0,Chennai,82.0,6000.0,8,5.11
1643,Sedan,54000,2,Honda,Honda City,Comprehensive,Petrol,Manual,17.8,1497,145.0,13.0,1497,4.0,4.0,7.0,4440,1695,1495,5,53,195.0,4,15.0,15.0,Chennai,1173.0,117.0,8,6.25
1644,Hatchback,110267,2,Nissan,Nissan Micra Active,Comprehensive,Petrol,Manual,19.49,1198,104.0,13.0,1198,3.0,4.0,5.0,3801,1665,1530,5,465,160.0,5,16.0,16.0,Chennai,6704.0,5000.0,8,3.27
1645,SUV,31767,1,Mahindra,Mahindra KUV 100,Third Party insurance,Petrol,Manual,18.15,1198,115.0,11.0,1198,3.0,4.0,7.0,3675,1715,1655,6,505,160.0,5,14.0,14.0,Chennai,82.0,5500.0,6,5.05
1646,SUV,45677,2,Honda,Honda WR-V,Comprehensive,Petrol,Manual,17.5,1199,110.0,11.0,1199,4.0,4.0,5.0,3999,1734,1601,5,53,164.26,5,16.0,16.0,Chennai,887.0,6000.0,6,6.4
1647,Hatchback,66656,1,Maruti,Maruti Celerio,Comprehensive,Petrol,Manual,25.24,998,89.0,7.0,998,3.0,4.0,8.0,3695,1655,1555,5,53,165.0,5,16.0,16.0,Chennai,6571.0,5500.0,7,4.49
1648,Sedan,27000,1,Honda,Honda Amaze,Comprehensive,Diesel,Manual,24.7,1498,200.0,11.0,1498,4.0,4.0,5.0,3995,1695,1501,5,49,165.0,4,16.0,16.0,Chennai,9863.0,3600.0,5,7.25
1649,Hatchback,37004,1,Renault,Renault KWID,Comprehensive,Petrol,Manual,21.74,999,91.0,11.0,999,3.0,4.0,5.0,3731,1579,1474,5,49,165.0,5,16.0,16.0,Chennai,67.0,5500.0,3,4.95
1650,Hatchback,85274,2,Hyundai,Hyundai i10,Comprehensive,Petrol,Manual,20.36,1197,111.7,13.0,1197,4.0,4.0,7.0,3585,1595,1550,5,53,165.0,4,13.0,13.0,Chennai,789.0,6000.0,13,2.71
1651,SUV,60000,2,Hyundai,Hyundai Creta,Third Party insurance,Diesel,Manual,19.67,1582,259.9,11.0,1582,4.0,4.0,5.0,4270,1780,1630,5,53,190.0,5,16.0,16.0,Chennai,1262.0,126.0,7,9.4
1652,Sedan,42000,1,Honda,Honda City,Comprehensive,Petrol,Manual,17.4,1497,145.0,8.0,1497,4.0,4.0,8.0,4440,1695,1495,5,53,165.0,4,15.0,15.0,Chennai,11760.0,117.0,7,7.99
1653,SUV,20000,1,Hyundai,Hyundai Creta,Third Party insurance,Diesel,Manual,18.9,1493,250.0,10.0,1493,4.0,4.0,5.0,4300,1790,1635,5,53,165.0,5,17.0,17.0,Chennai,11345.0,113.0,2,18.5
1654,MUV,30000,1,Kia,Kia Carens,Third Party insurance,Diesel,Automatic,18.9,1493,250.0,9.0,1493,4.0,4.0,5.0,4540,1800,1708,7,53,165.0,5,16.0,16.0,Chennai,11441.0,114.0,2,20.0
