,width,reg_age,length,wheel size,alloy wheel size,rpm,km,city,torque,top speed,mileage,height,model,engine and transmission,transmission,engine,displacement
7480,0.09876543209876543,0.3333333333333333,0.16921221864951774,16.0,16.0,0.9090909090909091,0.005150727272727273,5,0.07595835305253194,0.45161290322580644,0.11781522720433343,1.248313358428214e-05,155,11.0,1,0.1592,0.1592
7481,0.4506172839506173,0.047619047619047616,0.41036977491961424,16.0,16.0,0.9090909090909091,0.0016956363636363638,5,0.13007572172266918,0.532258064516129,0.10472464640385196,1.4485775335771261e-05,90,8.0,1,0.2394,0.2394
7482,0.40123456790123435,0.14285714285714285,0.34807073954983925,16.0,16.0,0.9090909090909091,0.008651636363636365,5,0.12801703738760056,0.532258064516129,0.1063045440866687,1.6154643462012183e-05,179,12.0,1,0.2394,0.2394
7483,0.4814814814814816,0.047619047619047616,0.5389871382636657,17.0,17.0,0.02090909090909091,0.0018181818181818184,5,0.2806436346426881,0.532258064516129,0.07086969605777912,2.3831436842720467e-05,107,9.0,1,0.2706,0.2706
7484,0.3086419753086418,0.19047619047619047,0.31792604501607724,16.0,16.0,0.9090909090909091,0.004367454545454546,5,0.12890440132513012,0.532258064516129,0.08892566957568462,1.5487096211515815e-05,77,11.0,1,0.2394,0.2394
7485,0.12962962962962954,0.19047619047619047,0.22950160771704198,16.0,16.0,0.9090909090909091,0.00801709090909091,5,0.10080454330336015,0.46774193548387094,0.12691844718627746,1.248313358428214e-05,156,11.0,1,0.1996,0.1996
7486,0.5037037037037038,0.14285714285714285,0.5711414790996785,18.0,18.0,0.02621212121212121,0.008201272727272727,5,0.40842404164694746,0.532258064516129,0.07538368943725551,2.349766321747227e-05,101,11.0,0,0.3912,0.3912
7487,0.35185185185185186,0.38095238095238093,0.41036977491961424,16.0,16.0,0.9090909090909091,0.001721818181818182,5,0.13038334122101278,0.5096774193548387,0.08591634065603371,1.782351158825312e-05,180,13.0,0,0.2394,0.2394
7488,0.43827160493827155,0.7619047619047619,0.647508038585209,15.0,15.0,0.015151515151515152,0.022727272727272728,5,0.23095125414103168,0.5,0.04446283478784232,3.150823022342874e-05,289,11.0,1,0.4988,0.4988
7489,0.1358024691358024,0.09523809523809523,0.23754019292604522,16.0,16.0,0.8333333333333334,0.0012727272727272728,5,0.09962139138665405,0.532258064516129,0.10999097201324104,1.8624568288848762e-05,176,7.0,1,0.1996,0.1996
7490,0.4135802469135801,0.23809523809523808,0.41036977491961424,16.0,16.0,0.6060606060606061,0.013272727272727273,5,0.21911973497397064,0.5483870967741935,0.15279867589527538,1.4819548961019446e-05,157,11.0,1,0.24960000000000002,0.24960000000000002
7491,0.4691358024691359,0.047619047619047616,0.41036977491961424,16.0,16.0,0.015303030303030303,0.002,5,0.15617605300520587,0.532258064516129,0.09637375865182066,2.6501625844705943e-05,159,7.0,1,0.2924,0.2924
7492,0.22839506172839497,0.6190476190476191,0.24557877813504825,13.0,13.0,0.9090909090909091,0.005454545454545455,5,0.12659725508755323,0.532258064516129,0.09990972013241048,1.7489737963004935e-05,89,13.0,1,0.2394,0.2394
7493,0.728395061728395,0.4761904761904761,0.5454180064308682,16.0,16.0,0.5681818181818182,0.006454545454545455,5,0.23095125414103168,0.5032258064516129,0.10058681913933193,2.5567059694011027e-05,229,11.0,1,0.2922,0.2922
7494,0.40123456790123435,0.19047619047619047,0.34807073954983925,16.0,16.0,0.9090909090909091,0.0018181818181818184,5,0.12801703738760056,0.532258064516129,0.11224796870297923,1.6154643462012183e-05,179,11.0,0,0.2394,0.2394
7495,0.3086419753086418,0.2857142857142857,0.31792604501607724,16.0,16.0,0.6060606060606061,0.007818181818181818,5,0.2194036914339801,0.4891290322580645,0.12729461330123384,1.5487096211515815e-05,77,11.0,1,0.23720000000000002,0.23720000000000002
