,bt,km,ownerno,oem,model,insurance validity,fuel type,transmission,mileage,engine,torque,engine and transmission,displacement,no of cylinder,values per cylinder,dimensions & capacity,length,width,height,seating capacity,turning radius,top speed,no door numbers,wheel size,alloy wheel size,city,bhp,rpm,reg_age,price_in_lakhs
199,2,45046,1,9,91,5,1,1,21.19,1396,220.0,11.0,1396,4.0,4.0,5.0,3995,1760,1555,5,52,165.0,5,16.0,16.0,0,8873.0,4000.0,8,7.64
200,2,53000,2,20,175,5,4,1,18.5,1197,114.0,11.0,1197,4.0,4.0,8.0,3775,1680,1620,5,47,156.0,5,16.0,16.0,0,8580.0,6000.0,10,4.2
201,2,94695,1,20,157,5,1,1,27.39,1248,190.0,11.0,1248,4.0,4.0,8.0,3995,1745,1510,5,49,170.0,5,16.0,16.0,0,74.0,4000.0,8,6.84
202,2,22162,1,20,157,6,4,1,21.4,1197,115.0,11.0,1197,4.0,4.0,8.0,3995,1745,1510,5,49,180.0,5,16.0,16.0,0,831.0,6000.0,5,8.03
203,2,70000,2,9,82,5,4,1,17.92,1086,96.1,11.0,1086,3.0,4.0,7.0,3565,1525,1590,5,44,165.0,5,13.0,13.0,0,621.0,5500.0,14,3.2
204,8,115331,1,8,63,2,1,1,26.0,1498,200.0,13.0,1498,4.0,4.0,7.0,4440,1695,1495,5,53,175.0,4,15.0,15.0,0,986.0,3600.0,6,8.04
205,8,70000,2,21,200,5,1,0,10.0,2148,400.0,12.0,2148,4.0,4.0,8.0,4852,1822,1483,5,56,227.0,4,17.0,17.0,0,170.0,170.0,11,14.0
206,2,42233,2,20,179,2,4,1,22.38,1197,113.0,7.0,1197,4.0,4.0,8.0,3845,1735,1530,5,48,165.0,5,16.0,16.0,0,8850.0,6000.0,8,5.48
207,2,20941,1,9,77,2,4,1,18.9,1197,113.75,11.0,1197,4.0,4.0,7.0,3765,1660,1520,5,48,165.0,5,16.0,16.0,0,8186.0,6000.0,5,6.19
208,7,50000,2,20,183,5,1,1,24.3,1248,200.0,12.0,1248,4.0,4.0,6.0,3995,1790,1640,5,52,172.0,5,16.0,16.0,0,885.0,4000.0,6,10.0
209,7,46602,1,8,69,2,4,1,17.5,1199,110.0,11.0,1199,4.0,4.0,5.0,3999,1734,1601,5,53,164.26,5,16.0,16.0,0,887.0,6000.0,6,8.65
210,7,50000,2,19,141,5,1,0,11.18,2696,402.0,11.0,2696,5.0,4.0,5.0,4755,1900,1840,7,57,194.0,5,16.0,16.0,0,184.0,184.0,10,10.0
211,2,104000,2,20,179,2,1,1,25.2,1248,190.0,13.0,1248,4.0,4.0,6.0,3840,1735,1530,5,48,155.0,5,16.0,16.0,0,74.0,4000.0,10,5.35
212,7,90000,1,6,50,2,1,1,23.0,1498,205.0,13.0,1498,4.0,4.0,6.0,3998,1765,1647,5,53,165.0,4,16.0,16.0,0,9896.0,3750.0,6,9.75
213,2,50035,1,20,157,5,4,1,21.4,1197,115.0,11.0,1197,4.0,4.0,8.0,3995,1745,1510,5,49,180.0,5,16.0,16.0,0,831.0,6000.0,7,6.99
214,7,80000,1,29,265,5,4,1,17.57,1199,170.0,8.0,1199,3.0,4.0,5.0,3993,1811,1606,5,51,165.0,5,16.0,16.0,0,11836.0,118.0,3,11.5
